,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
235,Azerbaijan,1.12373,0.35327,0.0564,81,5.291,0.54504,Central and Eastern Europe,0.76042,0.17914,2016
236,Philippines,0.81217,0.54854,0.21674,82,5.279,0.47036,Southeastern Asia,0.87877,0.11757,2016
237,China,1.0278,0.44012,0.04959,83,5.245,0.73561,Eastern Asia,0.79381,0.02745,2016
238,Bhutan,0.8527,0.46074,0.48546,84,5.196,0.49759,Southern Asia,0.90836,0.1616,2016
239,Kyrgyzstan,0.56044,0.40212,0.38432,85,5.185,0.55449,Central and Eastern Europe,0.95434,0.04762,2016
240,Serbia,1.03437,0.15718,0.20737,86,5.177,0.6458,Central and Eastern Europe,0.81329,0.04339,2016
241,Bosnia and Herzegovina,0.93383,0.09511,0.29889,87,5.163,0.70766,Central and Eastern Europe,0.64367,0.0,2016
242,Montenegro,1.07838,0.15111,0.17191,88,5.161,0.63533,Central and Eastern Europe,0.74173,0.12721,2016
243,Dominican Republic,1.02787,0.52259,0.21286,89,5.155,0.57669,Latin America and Caribbean,0.99496,0.12372,2016
244,Morocco,0.84058,0.25646,0.04053,90,5.151,0.59471,Middle East and Northern Africa,0.38595,0.08404,2016
245,Hungary,1.24142,0.1977,0.099,91,5.145,0.67608,Central and Eastern Europe,0.93164,0.04472,2016
246,Pakistan,0.68816,0.14622,0.31185,92,5.132,0.40306,Southern Asia,0.26135,0.1388,2016
247,Lebanon,1.12268,0.26228,0.23693,93,5.129,0.76171,Middle East and Northern Africa,0.64184,0.03061,2016
248,Portugal,1.27607,0.44727,0.11691,94,5.123,0.79363,Western Europe,0.94367,0.01521,2016
249,North Macedonia,1.0193,0.27668,0.23507,95,5.121,0.64738,Central and Eastern Europe,0.78236,0.07047,2016
250,Vietnam,0.74037,0.55954,0.25075,96,5.061,0.66157,Southeastern Asia,0.79117,0.11556,2016
251,Tunisia,0.97724,0.23553,0.03936,98,5.045,0.59577,Middle East and Northern Africa,0.43165,0.0817,2016
252,Greece,1.24886,0.05822,0.0,99,5.033,0.80029,Western Europe,0.75473,0.04127,2016
253,Tajikistan,0.48835,0.43408,0.25998,100,4.996,0.53119,Central and Eastern Europe,0.75602,0.13509,2016
254,Mongolia,0.98853,0.35972,0.34539,101,4.907,0.55469,Eastern Asia,1.08983,0.03285,2016
255,Laos,0.68042,0.52168,0.43079,102,4.876,0.38291,Southeastern Asia,0.5497,0.22423,2016
256,Nigeria,0.75216,0.27854,0.23219,103,4.875,0.05108,Sub-Saharan Africa,0.64498,0.0305,2016
257,Honduras,0.69429,0.26755,0.2044,104,4.871,0.58383,Latin America and Caribbean,0.75596,0.06906,2016
258,Iran,1.11758,0.22544,0.38538,105,4.813,0.64232,Middle East and Northern Africa,0.38857,0.0557,2016
259,Zambia,0.61202,0.42662,0.17866,106,4.795,0.23573,Sub-Saharan Africa,0.6376,0.11479,2016
260,Nepal,0.44626,0.37012,0.3816,107,4.793,0.50073,Southern Asia,0.69699,0.07008,2016
261,Palestinian Territories,0.67024,0.17744,0.11154,108,4.754,0.56844,Middle East and Northern Africa,0.71629,0.10613,2016
262,Albania,0.9553,0.31866,0.1684,109,4.655,0.73007,Central and Eastern Europe,0.50163,0.05301,2016
263,Bangladesh,0.54177,0.39778,0.19132,110,4.643,0.52989,Southern Asia,0.24749,0.12583,2016
264,Sierra Leone,0.36485,0.30685,0.23897,111,4.635,0.0,Sub-Saharan Africa,0.628,0.08196,2016
265,Iraq,1.07474,0.24856,0.19589,112,4.575,0.51076,Middle East and Northern Africa,0.59205,0.13636,2016
266,Cameroon,0.52497,0.42736,0.2268,114,4.513,0.12698,Sub-Saharan Africa,0.62542,0.06126,2016
267,Ethiopia,0.29283,0.36703,0.29522,115,4.508,0.34578,Sub-Saharan Africa,0.37932,0.1717,2016
268,South Africa,1.02416,0.42483,0.13656,116,4.459,0.18611,Sub-Saharan Africa,0.96053,0.08415,2016
269,Sri Lanka,0.97318,0.50817,0.46978,117,4.415,0.62007,Southern Asia,0.84783,0.07964,2016
270,India,0.74036,0.40285,0.25028,118,4.404,0.45091,Southern Asia,0.29247,0.08722,2016
271,Myanmar,0.34112,0.42692,0.81971,119,4.395,0.3988,Southeastern Asia,0.69981,0.20243,2016
272,Egypt,0.95395,0.18847,0.12706,120,4.362,0.52116,Middle East and Northern Africa,0.49813,0.10393,2016
273,Armenia,0.86086,0.14037,0.07793,121,4.36,0.64083,Central and Eastern Europe,0.62477,0.03616,2016
274,Kenya,0.52267,0.40576,0.41328,122,4.356,0.30147,Sub-Saharan Africa,0.7624,0.06686,2016
275,Ukraine,0.87287,0.12859,0.20363,123,4.324,0.58628,Central and Eastern Europe,1.01413,0.01829,2016
276,Ghana,0.63107,0.40973,0.21203,124,4.276,0.29681,Sub-Saharan Africa,0.49353,0.0326,2016
277,RD Congo,0.05661,0.15602,0.25458,125,4.272,0.188,Sub-Saharan Africa,0.80676,0.06075,2016
278,Georgia,0.83792,0.32461,0.06786,126,4.252,0.64035,Central and Eastern Europe,0.19249,0.3188,2016
279,Congo,0.77109,0.37938,0.12077,127,4.236,0.28212,Sub-Saharan Africa,0.47799,0.09753,2016
280,Senegal,0.44314,0.31056,0.19103,128,4.219,0.40457,Sub-Saharan Africa,0.77416,0.11681,2016
281,Bulgaria,1.11306,0.21219,0.12793,129,4.217,0.67806,Central and Eastern Europe,0.92542,0.00615,2016
282,Mauritania,0.61391,0.1268,0.22686,130,4.201,0.28639,Sub-Saharan Africa,0.84142,0.17955,2016
283,Zimbabwe,0.35041,0.25429,0.18503,131,4.193,0.1595,Sub-Saharan Africa,0.71478,0.08582,2016
284,Malawi,0.08709,0.4143,0.30968,132,4.156,0.29364,Sub-Saharan Africa,0.147,0.07564,2016
285,Sudan,0.63069,0.0,0.18077,133,4.139,0.29759,Sub-Saharan Africa,0.81928,0.10039,2016
286,Gabon,1.15851,0.28098,0.06244,134,4.121,0.3494,Sub-Saharan Africa,0.72368,0.09314,2016
287,Mali,0.31292,0.27544,0.21064,135,4.073,0.16347,Sub-Saharan Africa,0.86333,0.13647,2016
288,Haiti,0.34097,0.12072,0.47958,136,4.028,0.27494,Latin America and Caribbean,0.29561,0.14476,2016
289,Botswana,1.09426,0.44089,0.12425,137,3.974,0.34752,Sub-Saharan Africa,0.89186,0.10769,2016
290,Comoros,0.27509,0.15412,0.1827,138,3.956,0.29981,Sub-Saharan Africa,0.60323,0.18437,2016
291,Ivory Coast,0.55507,0.40663,0.20338,139,3.916,0.04476,Sub-Saharan Africa,0.57576,0.1553,2016
292,Cambodia,0.55604,0.58852,0.40339,140,3.907,0.42494,Southeastern Asia,0.5375,0.08092,2016
293,Angola,0.84731,0.00589,0.12071,141,3.866,0.04991,Sub-Saharan Africa,0.66366,0.08434,2016
294,Niger,0.1327,0.38041,0.2097,142,3.856,0.26162,Sub-Saharan Africa,0.6053,0.17176,2016
295,Chad,0.42214,0.12807,0.18667,144,3.763,0.03824,Sub-Saharan Africa,0.63178,0.04952,2016
296,Burkina Faso,0.31995,0.3337,0.24353,145,3.739,0.21297,Sub-Saharan Africa,0.63054,0.12533,2016
297,Uganda,0.34719,0.43653,0.27102,145,3.739,0.19625,Sub-Saharan Africa,0.90981,0.06442,2016
298,Yemen,0.57939,0.2287,0.09821,147,3.724,0.31048,Middle East and Northern Africa,0.47493,0.05892,2016
299,Madagascar,0.27954,0.13684,0.2204,148,3.695,0.37109,Sub-Saharan Africa,0.46115,0.07506,2016
300,Tanzania,0.47155,0.3176,0.31472,149,3.666,0.357,Sub-Saharan Africa,0.77623,0.05099,2016
301,Liberia,0.10706,0.25748,0.24063,150,3.622,0.23165,Sub-Saharan Africa,0.50353,0.04852,2016
302,Guinea,0.22415,0.30953,0.29914,151,3.607,0.18829,Sub-Saharan Africa,0.3109,0.1192,2016
303,Rwanda,0.32846,0.5432,0.23552,152,3.515,0.31865,Sub-Saharan Africa,0.61586,0.50521,2016
304,Benin,0.39499,0.39747,0.2018,153,3.484,0.21028,Sub-Saharan Africa,0.10419,0.06681,2016
305,Afghanistan,0.38227,0.1643,0.31268,154,3.36,0.17344,Southern Asia,0.11037,0.07112,2016
306,Togo,0.28123,0.34678,0.17517,155,3.303,0.24811,Sub-Saharan Africa,0.0,0.11587,2016
307,Syria,0.74719,0.06912,0.48397,156,3.069,0.62994,Middle East and Northern Africa,0.14866,0.17233,2016
308,Burundi,0.06831,0.0432,0.2029,157,2.905,0.15747,Sub-Saharan Africa,0.23442,0.09419,2016
309,Norway,1.61646318435669,0.635422587394714,0.36201223731041,1,7.53700017929077,0.796666502952576,Western Europe,1.53352355957031,0.315963834524155,2017
310,Denmark,1.48238301277161,0.626006722450256,0.355280488729477,2,7.52199983596802,0.792565524578094,Western Europe,1.55112159252167,0.40077006816864,2017
311,Iceland,1.480633020401,0.627162635326385,0.475540220737457,3,7.50400018692017,0.833552122116089,Western Europe,1.6105740070343,0.153526559472084,2017
312,Switzerland,1.56497955322266,0.620070576667786,0.290549278259277,4,7.49399995803833,0.858131289482117,Western Europe,1.51691174507141,0.367007285356522,2017
313,Finland,1.44357192516327,0.617950856685638,0.24548277258873,5,7.4689998626709,0.80915766954422,Western Europe,1.5402467250824,0.38261154294014,2017
314,Netherlands,1.50394463539124,0.585384488105774,0.470489829778671,6,7.3769998550415,0.810696125030518,Western Europe,1.42893922328949,0.282661825418472,2017
315,Canada,1.47920441627502,0.611100912094116,0.435539722442627,7,7.31599998474121,0.83455765247345,North America,1.48134899139404,0.287371516227722,2017
316,New Zealand,1.40570604801178,0.614062130451202,0.500005125999451,8,7.31400012969971,0.816759705543518,Australia and New Zealand,1.54819512367249,0.382816702127457,2017
317,Sweden,1.49438726902008,0.612924098968506,0.385399252176285,9,7.28399991989136,0.830875158309937,Western Europe,1.47816216945648,0.384398728609085,2017
318,Australia,1.484414935112,0.601607382297516,0.477699249982834,10,7.28399991989136,0.84388679265976,Australia and New Zealand,1.51004195213318,0.301183730363846,2017
319,Israel,1.37538242340088,0.405988603830338,0.330082654953003,11,7.21299982070923,0.83840399980545,Middle East and Northern Africa,1.37628996372223,0.0852421000599861,2017
320,Costa Rica,1.10970628261566,0.580131649971008,0.214613229036331,12,7.0789999961853,0.759509265422821,Latin America and Caribbean,1.41640365123749,0.100106589496136,2017
321,Austria,1.48709726333618,0.567766189575195,0.316472321748734,13,7.00600004196167,0.815328419208527,Western Europe,1.4599449634552,0.221060365438461,2017
322,United States,1.54625928401947,0.505740523338318,0.392578780651093,14,6.99300003051758,0.77428662776947,North America,1.41992056369781,0.135638788342476,2017
323,Ireland,1.53570663928986,0.573110342025757,0.42785832285881,15,6.97700023651123,0.80978262424469,Western Europe,1.55823111534119,0.29838815331459,2017
324,Germany,1.48792338371277,0.562511384487152,0.336269170045853,16,6.95100021362305,0.798950731754303,Western Europe,1.47252035140991,0.276731938123703,2017
325,Belgium,1.46378076076508,0.539770722389221,0.231503337621689,17,6.89099979400635,0.818091869354248,Western Europe,1.46231269836426,0.251343131065369,2017
326,Luxembourg,1.74194359779358,0.59662789106369,0.283180981874466,18,6.86299991607666,0.845089495182037,Western Europe,1.45758366584778,0.31883442401886,2017
327,United Kingdom,1.44163393974304,0.508190035820007,0.492774158716202,19,6.71400022506714,0.805335938930511,Western Europe,1.49646008014679,0.265428066253662,2017
328,Chile,1.25278460979462,0.376895278692245,0.326662421226501,20,6.65199995040894,0.819479703903198,Latin America and Caribbean,1.28402495384216,0.0822879821062088,2017
329,United Arab Emirates,1.62634336948395,0.60834527015686,0.3609419465065,21,6.64799976348877,0.726798236370087,Middle East and Northern Africa,1.26641023159027,0.324489563703537,2017
330,Brazil,1.10735321044922,0.437453746795654,0.16234989464283,22,6.63500022888184,0.616552352905273,Latin America and Caribbean,1.43130600452423,0.111092761158943,2017
331,Czech Republic,1.35268235206604,0.490946173667908,0.0881067588925362,23,6.60900020599365,0.754444003105164,Central and Eastern Europe,1.43388521671295,0.0368729270994663,2017
332,Argentina,1.18529546260834,0.494519203901291,0.109457060694695,24,6.59899997711182,0.695137083530426,Latin America and Caribbean,1.44045114517212,0.059739887714386,2017
333,Mexico,1.15318381786346,0.412730008363724,0.120990432798862,25,6.57800006866455,0.709978997707367,Latin America and Caribbean,1.210862159729,0.132774114608765,2017
334,Singapore,1.69227766990662,0.549840569496155,0.345965981483459,26,6.57200002670288,0.949492394924164,Southeastern Asia,1.35381436347961,0.46430778503418,2017
335,Malta,1.34327983856201,0.588767051696777,0.574730575084686,27,6.52699995040894,0.821944236755371,Western Europe,1.48841166496277,0.153066068887711,2017
336,Uruguay,1.21755969524384,0.57939225435257,0.175096929073334,28,6.4539999961853,0.719216823577881,Latin America and Caribbean,1.41222786903381,0.178061872720718,2017
337,Guatemala,0.872001945972443,0.531310617923737,0.283488392829895,29,6.4539999961853,0.540239989757538,Latin America and Caribbean,1.25558519363403,0.0772232785820961,2017
338,Panama,1.23374843597412,0.550026834011078,0.21055693924427,30,6.4520001411438,0.706156134605408,Latin America and Caribbean,1.37319254875183,0.070983923971653,2017
339,France,1.43092346191406,0.470222115516663,0.129762306809425,31,6.44199991226196,0.844465851783752,Western Europe,1.38777685165405,0.172502428293228,2017
340,Thailand,1.12786877155304,0.580200731754303,0.572123110294342,32,6.42399978637695,0.647239029407501,Southeastern Asia,1.42579245567322,0.0316127352416515,2017
341,Taiwan,1.43362653255463,0.361466586589813,0.258360475301743,33,6.42199993133545,0.793984234333038,Eastern Asia,1.38456535339355,0.0638292357325554,2017
342,Spain,1.38439786434174,0.408781230449677,0.190133571624756,34,6.40299987792969,0.888960599899292,Western Europe,1.53209090232849,0.0709140971302986,2017
343,Qatar,1.87076568603516,0.604130983352661,0.330473870038986,35,6.375,0.710098087787628,Middle East and Northern Africa,1.27429687976837,0.439299255609512,2017
344,Colombia,1.07062232494354,0.477487415075302,0.149014472961426,36,6.35699987411499,0.595027923583984,Latin America and Caribbean,1.4021829366684,0.0466687418520451,2017
345,Saudi Arabia,1.53062355518341,0.449750572443008,0.147616013884544,37,6.3439998626709,0.590148329734802,Middle East and Northern Africa,1.28667759895325,0.27343225479126,2017
346,Trinidad and Tobago,1.36135590076447,0.518630743026733,0.325296461582184,38,6.16800022125244,0.519983291625977,Latin America and Caribbean,1.3802285194397,0.0089648161083459,2017
347,Kuwait,1.63295245170593,0.496337592601776,0.228289797902107,39,6.10500001907349,0.632105708122253,Middle East and Northern Africa,1.25969874858856,0.215159550309181,2017
348,Slovakia,1.32539355754852,0.295817464590073,0.136544480919838,40,6.09800004959106,0.712732911109924,Central and Eastern Europe,1.50505924224854,0.0242108516395092,2017
349,Bahrain,1.48841226100922,0.536746919155121,0.172668486833572,41,6.08699989318848,0.653133034706116,Middle East and Northern Africa,1.32311046123505,0.257042169570923,2017
350,Malaysia,1.29121541976929,0.402264982461929,0.416608929634094,42,6.08400011062622,0.618784427642822,Southeastern Asia,1.28464603424072,0.0656007081270218,2017
351,Nicaragua,0.737299203872681,0.447551846504211,0.301674216985703,43,6.07100009918213,0.653095960617065,Latin America and Caribbean,1.28721570968628,0.130687981843948,2017
352,Ecuador,1.00082039833069,0.4551981985569,0.150112465023994,44,6.00799989700317,0.685636222362518,Latin America and Caribbean,1.28616881370544,0.140134647488594,2017
353,El Salvador,0.909784495830536,0.432452529668808,0.0782579854130745,45,6.00299978256226,0.596018552780151,Latin America and Caribbean,1.18212509155273,0.0899809598922729,2017
354,Poland,1.29178786277771,0.520342111587524,0.158465966582298,46,5.97300004959106,0.699475347995758,Central and Eastern Europe,1.44571197032928,0.0593078061938286,2017
355,Uzbekistan,0.786441087722778,0.658248662948608,0.415983647108078,47,5.97100019454956,0.498272627592087,Central and Eastern Europe,1.54896914958954,0.246528223156929,2017
356,Italy,1.39506661891937,0.256450712680817,0.17278964817524,48,5.96400022506714,0.853144347667694,Western Europe,1.44492328166962,0.0280280914157629,2017
357,Russia,1.28177809715271,0.373783111572266,0.0522638224065304,49,5.96299982070923,0.547349333763123,Central and Eastern Europe,1.46928238868713,0.0329628810286522,2017
358,Japan,1.41691517829895,0.505625545978546,0.12057276815176,51,5.92000007629395,0.913475871086121,Eastern Asia,1.43633782863617,0.163760736584663,2017
359,Lithuania,1.31458234786987,0.234231784939766,0.010164656676352,52,5.90199995040894,0.62894994020462,Central and Eastern Europe,1.47351610660553,0.0118656428530812,2017
360,Algeria,1.09186446666718,0.233335807919502,0.0694366469979286,53,5.87200021743774,0.617584645748138,Middle East and Northern Africa,1.1462174654007,0.146096110343933,2017
361,Latvia,1.26074862480164,0.325707912445068,0.153074786067009,54,5.84999990463257,0.638566970825195,Central and Eastern Europe,1.40471494197845,0.0738427266478539,2017
362,South Korea,1.40167844295502,0.257921665906906,0.206674367189407,55,5.83799982070923,0.900214076042175,Eastern Asia,1.12827444076538,0.0632826685905457,2017
363,Moldova,0.728870630264282,0.240729048848152,0.208779126405716,56,5.83799982070923,0.589465200901031,Central and Eastern Europe,1.25182557106018,0.0100912861526012,2017
364,Romania,1.21768391132355,0.457003742456436,0.133519917726517,57,5.82499980926514,0.685158312320709,Central and Eastern Europe,1.15009129047394,0.00438790069893,2017
365,Bolivia,0.833756566047668,0.558732926845551,0.22556072473526,58,5.82299995422363,0.473630249500275,Latin America and Caribbean,1.22761905193329,0.0604777261614799,2017
366,Turkmenistan,1.13077676296234,0.41827192902565,0.24992498755455,59,5.82200002670288,0.437726080417633,Central and Eastern Europe,1.49314916133881,0.259270340204239,2017
367,Kazakhstan,1.28455626964569,0.437454283237457,0.201964423060417,60,5.81899976730347,0.606041550636292,Central and Eastern Europe,1.38436901569366,0.119282886385918,2017
368,North Cyprus,1.3469113111496,0.471203625202179,0.266845703125,61,5.80999994277954,0.834647238254547,Western Europe,1.18630337715149,0.155353352427483,2017
369,Slovenia,1.3412059545517,0.572575807571411,0.242649093270302,62,5.75799989700317,0.790828227996826,Central and Eastern Europe,1.45251882076263,0.0451289787888527,2017
370,Peru,1.03522527217865,0.450002878904343,0.126819714903831,63,5.71500015258789,0.630166113376617,Latin America and Caribbean,1.21877038478851,0.0470490865409374,2017
371,Mauritius,1.18939554691315,0.491247326135635,0.360933750867844,64,5.62900018692017,0.638007462024689,Sub-Saharan Africa,1.20956099033356,0.0421815551817417,2017
372,Cyprus,1.35593807697296,0.355111539363861,0.271254301071167,65,5.62099981307983,0.84471470117569,Western Europe,1.13136327266693,0.0412379764020443,2017
373,Estonia,1.32087934017181,0.479131430387497,0.0988908112049103,66,5.61100006103516,0.695168316364288,Central and Eastern Europe,1.47667109966278,0.183248922228813,2017
374,Belarus,1.15655755996704,0.295400261878967,0.15513750910759,67,5.56899976730347,0.637714266777039,Central and Eastern Europe,1.44494521617889,0.156313821673393,2017
375,Libya,1.10180306434631,0.465733230113983,0.152073666453362,68,5.52500009536743,0.520169019699097,Middle East and Northern Africa,1.35756433010101,0.0926102101802826,2017
376,Turkey,1.19827437400818,0.300740599632263,0.0466930419206619,69,5.5,0.637605607509613,Middle East and Northern Africa,1.33775317668915,0.0996715798974037,2017
377,Paraguay,0.932537317276001,0.473507791757584,0.224150657653809,70,5.49300003051758,0.579250693321228,Latin America and Caribbean,1.50728487968445,0.091065913438797,2017
378,Hong Kong,1.55167484283447,0.490968644618988,0.374465793371201,71,5.47200012207031,0.943062424659729,Eastern Asia,1.26279091835022,0.293933749198914,2017
379,Philippines,0.85769921541214,0.585214674472809,0.193513423204422,72,5.42999982833862,0.468009054660797,Southeastern Asia,1.25391757488251,0.0993318930268288,2017
380,Serbia,1.06931757926941,0.208715528249741,0.220125883817673,73,5.39499998092651,0.65078467130661,Central and Eastern Europe,1.25818979740143,0.0409037806093693,2017
381,Jordan,0.991012394428253,0.418421149253845,0.172170460224152,74,5.33599996566772,0.604590058326721,Middle East and Northern Africa,1.23908889293671,0.11980327218771,2017
382,Hungary,1.2860119342804,0.175863519310951,0.0784016624093056,75,5.32399988174438,0.687763452529907,Central and Eastern Europe,1.34313309192657,0.0366369374096394,2017
383,Jamaica,0.925579309463501,0.474307239055634,0.233818337321281,76,5.31099987030029,0.641022384166718,Latin America and Caribbean,1.36821806430817,0.0552677810192108,2017
384,Croatia,1.22255623340607,0.255772292613983,0.248002976179123,77,5.29300022125244,0.701288521289825,Central and Eastern Europe,0.96798300743103,0.0431031100451946,2017
385,Kosovo,0.951484382152557,0.260287940502167,0.319931447505951,78,5.27899980545044,0.541452050209045,Central and Eastern Europe,1.13785350322723,0.0574716180562973,2017
386,China,1.08116579055786,0.472787708044052,0.0288068410009146,79,5.27299976348877,0.741415500640869,Eastern Asia,1.16083741188049,0.0227942746132612,2017
387,Pakistan,0.72688353061676,0.23521526157856,0.315446019172668,80,5.26900005340576,0.402047783136368,Southern Asia,0.672690689563751,0.124348066747189,2017
388,Indonesia,0.995538592338562,0.443323463201523,0.611704587936401,81,5.26200008392334,0.492345720529556,Southeastern Asia,1.27444469928741,0.0153171354904771,2017
389,Venezuela,1.12843120098114,0.153997123241425,0.0650196298956871,82,5.25,0.617144227027893,Latin America and Caribbean,1.43133759498596,0.0644911229610443,2017
390,Montenegro,1.12112903594971,0.194989055395126,0.197911024093628,83,5.23699998855591,0.667464673519135,Central and Eastern Europe,1.23837649822235,0.0881741940975189,2017
391,Morocco,0.878114581108093,0.408158332109451,0.0322099551558495,84,5.2350001335144,0.59771066904068,Middle East and Northern Africa,0.774864435195923,0.0877631828188896,2017
392,Azerbaijan,1.15360176563263,0.398155838251114,0.0452693402767181,85,5.23400020599365,0.540775775909424,Central and Eastern Europe,1.15240025520325,0.180987507104874,2017
393,Dominican Republic,1.07937383651733,0.55258983373642,0.186967849731445,86,5.23000001907349,0.574873745441437,Latin America and Caribbean,1.40241670608521,0.113945253193378,2017
394,Greece,1.28948748111725,0.0957312509417534,0.0,87,5.22700023651123,0.810198903083801,Western Europe,1.23941457271576,0.04328977689147,2017
395,Lebanon,1.07498753070831,0.288515985012054,0.264450758695602,88,5.22499990463257,0.735081076622009,Middle East and Northern Africa,1.12962424755096,0.037513829767704,2017
396,Portugal,1.3151752948761,0.498465299606323,0.0951027125120163,89,5.19500017166138,0.795843541622162,Western Europe,1.36704301834106,0.0158694516867399,2017
397,Bosnia and Herzegovina,0.982409417629242,0.204403176903725,0.328867495059967,90,5.18200016021729,0.705186307430267,Central and Eastern Europe,1.0693359375,0.0,2017
398,Honduras,0.730573117733002,0.348079860210419,0.236188873648643,91,5.18100023269653,0.582569479942322,Latin America and Caribbean,1.14394497871399,0.0733454525470734,2017
399,North Macedonia,1.06457793712616,0.325905978679657,0.25376096367836,92,5.17500019073486,0.644948184490204,Central and Eastern Europe,1.20789301395416,0.0602777935564518,2017
400,Vietnam,0.788547575473785,0.571055591106415,0.234968051314354,94,5.07399988174438,0.652168989181519,Southeastern Asia,1.27749133110046,0.0876332372426987,2017
401,Nigeria,0.783756256103516,0.394952565431595,0.230947196483612,95,5.07399988174438,0.0569157302379608,Sub-Saharan Africa,1.21577048301697,0.0261215660721064,2017
402,Tajikistan,0.524713635444641,0.471566706895828,0.248997643589973,96,5.04099988937378,0.529235124588013,Central and Eastern Europe,1.27146327495575,0.146377146244049,2017
403,Bhutan,0.885416388511658,0.501537680625916,0.474054545164108,97,5.01100015640259,0.495879292488098,Southern Asia,1.34012651443481,0.173380389809608,2017
404,Kyrgyzstan,0.596220076084137,0.454943388700485,0.42858037352562,98,5.00400018692017,0.553457796573639,Central and Eastern Europe,1.39423859119415,0.0394391790032387,2017
405,Nepal,0.479820191860199,0.440305948257446,0.394096165895462,99,4.96199989318848,0.504130780696869,Southern Asia,1.17928326129913,0.0729755461215973,2017
406,Mongolia,1.02723586559296,0.394143968820572,0.338464230298996,100,4.95499992370605,0.557783484458923,Eastern Asia,1.4930112361908,0.0329022891819477,2017
407,South Africa,1.05469870567322,0.479246735572815,0.139362379908562,101,4.8289999961853,0.187080070376396,Sub-Saharan Africa,1.38478863239288,0.0725094974040985,2017
408,Tunisia,1.00726580619812,0.289680689573288,0.0496933571994305,102,4.80499982833862,0.613212049007416,Middle East and Northern Africa,0.868351459503174,0.0867231488227844,2017
409,Palestinian Territories,0.716249227523804,0.25471106171608,0.114173173904419,103,4.77500009536743,0.565666973590851,Middle East and Northern Africa,1.15564715862274,0.0892826020717621,2017
410,Egypt,0.989701807498932,0.282110154628754,0.128631442785263,104,4.7350001335144,0.520187258720398,Middle East and Northern Africa,0.997471392154694,0.114381365478039,2017
411,Bulgaria,1.1614590883255,0.289231717586517,0.113177694380283,105,4.71400022506714,0.708217680454254,Central and Eastern Europe,1.43437945842743,0.0110515309497714,2017
412,Sierra Leone,0.36842092871666,0.318697690963745,0.293040901422501,106,4.70900011062622,0.0055647538974881,Sub-Saharan Africa,0.984136044979095,0.0710951760411263,2017
413,Cameroon,0.564305365085602,0.430388748645782,0.236298456788063,107,4.69500017166138,0.132892116904259,Sub-Saharan Africa,0.946018218994141,0.0513066314160824,2017
414,Iran,1.15687310695648,0.249322608113289,0.387242913246155,108,4.69199991226196,0.639333188533783,Middle East and Northern Africa,0.711551249027252,0.048761073499918,2017
415,Albania,0.996192753314972,0.381498634815216,0.201312944293022,109,4.64400005340576,0.731159746646881,Central and Eastern Europe,0.803685247898102,0.0398642159998417,2017
416,Bangladesh,0.586682975292206,0.478356659412384,0.172255352139473,110,4.60799980163574,0.533241033554077,Southern Asia,0.735131740570068,0.123717859387398,2017
417,Kenya,0.560479462146759,0.452763766050339,0.444860309362411,112,4.55299997329712,0.309988349676132,Sub-Saharan Africa,1.06795072555542,0.0646413192152977,2017
418,Mozambique,0.234305649995804,0.480791091918945,0.322228103876114,113,4.55000019073486,0.106654435396194,Sub-Saharan Africa,0.870701014995575,0.179436385631561,2017
419,Myanmar,0.367110550403595,0.514492034912109,0.838075160980225,114,4.54500007629395,0.397522568702698,Southeastern Asia,1.12323594093323,0.188816204667091,2017
420,Senegal,0.479309022426605,0.377922266721725,0.183468893170357,115,4.53499984741211,0.409362852573395,Sub-Saharan Africa,1.17969191074371,0.115460447967052,2017
421,Zambia,0.636406779289246,0.461603492498398,0.249580144882202,116,4.51399993896484,0.257835894823074,Sub-Saharan Africa,1.00318729877472,0.0782135501503944,2017
422,Iraq,1.10271048545837,0.288555532693863,0.19963726401329,117,4.49700021743774,0.501180469989777,Middle East and Northern Africa,0.978613197803497,0.107215754687786,2017
423,Gabon,1.1982102394104,0.312328577041626,0.0437853783369064,118,4.46500015258789,0.356578588485718,Sub-Saharan Africa,1.1556202173233,0.0760467872023582,2017
424,Ethiopia,0.339233845472336,0.408842742443085,0.312650740146637,119,4.46000003814697,0.353409707546234,Sub-Saharan Africa,0.86466920375824,0.165455713868141,2017
425,Sri Lanka,1.00985014438629,0.561213254928589,0.490863561630249,120,4.44000005722046,0.625130832195282,Southern Asia,1.25997638702393,0.0736539661884308,2017
426,Armenia,0.900596737861633,0.198303267359734,0.0834880918264389,121,4.37599992752075,0.637524425983429,Central and Eastern Europe,1.00748372077942,0.0266744215041399,2017
427,India,0.792221248149872,0.469987004995346,0.231538489460945,122,4.31500005722046,0.455427616834641,Southern Asia,0.754372596740723,0.0922268852591515,2017
428,Mauritania,0.648457288742065,0.0960980430245399,0.201870024204254,123,4.29199981689453,0.285349279642105,Sub-Saharan Africa,1.2720308303833,0.136957004666328,2017
429,Congo,0.808964252471924,0.435025870800018,0.120852127671242,124,4.29099988937378,0.28995743393898,Sub-Saharan Africa,0.832044363021851,0.0796181336045265,2017
430,Georgia,0.950612664222717,0.309410035610199,0.0540088154375553,125,4.28599977493286,0.649546980857849,Central and Eastern Europe,0.57061493396759,0.251666635274887,2017
